Risk ID,Risk Category,Risk Description,Risk Owner,NIST CSF Function,Likelihood (1-5),Impact (1-5),Risk Rating (1-25),Risk Status,Mitigation Strategy,Mitigation Actions,Target Completion Date,Residual Risk Rating,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-01,Data Protection,Personal devices used for work lack verified encryption status,Security Lead,Protect,5,5,25,Open,Mitigate,"Implement device encryption verification process, procure corporate laptops for handling sensitive data",Q3 2025,10,"Not addressed in WISP, requires hardware procurement and implementation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phase,Task Description,Responsible Party,Start Date,End Date,Duration (Days),Status,Dependencies,Resources Required,Estimated Cost,Priority,Notes,
R-02,Third-Party Risk,No formal vendor security assessment process exists,Security Lead,Identify,4,4,16,Open,Mitigate,Develop and implement vendor security assessment questionnaire and review procedure,Q3 2025,8,"Partially addressed in WISP via SOP-08, requires implementation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-03,Monitoring,Lack of centralized security monitoring capability,Security Lead,Detect,5,4,20,Open,Transfer/Mitigate,Evaluate Managed Security Service Provider (MSSP) options for small business,Q4 2025,10,"Not addressed in WISP, requires service provider evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-04,Compliance,Potential non-compliance with Novartis MSA security requirements,Management,Govern,5,5,25,Open,Mitigate,Conduct gap assessment against specific Novartis requirements and prioritize remediation,Q2 2025,15,"Partially addressed in WISP, requires specific MSA review",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-05,Access Control,"No formal access review process implemented, including SharePoint folder permissions",Management,Protect,4,4,16,Open,Mitigate,"Implement quarterly access review process for all business applications, develop SharePoint access audit capability",Q3 2025,8,"Addressed in WISP via SOP-04, requires implementation and SharePoint-specific procedures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-06,Disaster Recovery,Lack of tested backup and recovery procedures,Security Lead,Recover,4,5,20,Open,Mitigate,Implement and test backup solution for all business-critical data,Q3 2025,10,"Addressed in WISP via SOP-07, requires implementation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-07,Physical Security,Remote work environments may not meet security requirements,All Staff,Protect,3,4,12,Open,Mitigate,Develop and implement remote work security guidelines with verification process,Q3 2025,6,"Partially addressed in Acceptable Use Policy, requires verification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-08,Technical Vulnerability,Inconsistent patch management across personal devices,All Staff,Protect,4,4,16,Open,Mitigate,Implement automated patch compliance checking tool,Q4 2025,8,"Not addressed in WISP, requires technical solution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-09,Security Awareness,Varying levels of security awareness among staff,Management,Protect,3,4,12,Open,Mitigate,Implement formal security awareness training program with testing,Q3 2025,6,"Addressed in WISP via SOP-05, requires implementation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-10,Incident Response,No formal security incident response procedure,Security Lead,Respond,4,5,20,Open,Mitigate,Develop incident response playbooks for common scenarios,Q2 2025,10,"Addressed in WISP via SOP-06, requires implementation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-11,Data Security,Use of multiple file sharing platforms (Dropbox and SharePoint) increasing data exposure risk,Management,Protect,4,4,16,Open,Mitigate,"Consolidate all company files from Dropbox to SharePoint/O365 with appropriate access controls, clean up repositories prior to migration",Q3 2025,8,Integration with Office 365 preferred; migration to include thorough cleanup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-12,Authentication,Limited use of multi-factor authentication across business applications,Security Lead,Protect,5,4,20,Open,Mitigate,Enable MFA for all business applications and accounts,Q2 2025,8,"Addressed in Information Security Policy, requires implementation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-13,Business Continuity,No formal business continuity plan exists,Management,Recover,3,5,15,Open,Mitigate,Develop business continuity plan addressing key business functions,Q4 2025,9,"Addressed in WISP via SOP-07, requires implementation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-14,Regulatory,Potential exposure to data privacy regulations due to handling sensitive information,Management,Govern,3,5,15,Open,Mitigate,Conduct data privacy assessment and implement controls as needed,Q4 2025,9,"Not addressed in WISP, requires specific privacy assessment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-15,Operational,Manual security processes may lead to inconsistent implementation,Security Lead,Govern,3,3,9,Open,Mitigate,Evaluate security automation tools appropriate for small business,Q4 2025,6,"Not addressed in WISP, requires process engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-16,Communication,Multiple Teams accounts (client and internal) may result in unauthorized disclosure of data,Management,Protect,4,5,20,Open,Mitigate,"Implement separate communication platform (Slack) for internal communications, restrict Teams use to client environments only",Q2 2025,10,Requires evaluation of communication tools and clear usage policies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-17,Data Integrity,Inadequate version control for shared client documents could lead to data loss,Management,Protect,3,5,15,Open,Mitigate,"Implement automated backup/version control procedures for critical client-shared documents, especially in Novartis environment",Q2 2025,6,Requires automated solution rather than manual downloads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,